Titulo,Órgão julgador,Data de aprovação,Situação,Ramo do direito,Enunciado
"Súmula 735","Tribunal Pleno","26/11/2003","Aprovada","Processual Civil","Não cabe recurso extraordinário contra acórdão que defere medida liminar."
"Súmula 734","Tribunal Pleno","26/11/2003","Aprovada","Processual Civil","Não cabe reclamação quando já houver transitado em julgado o ato judicial que se alega tenha desrespeitado decisão do Supremo Tribunal Federal."
"Súmula 733","Tribunal Pleno","26/11/2003","Aprovada","Processual Civil","Não cabe recurso extraordinário contra decisão proferida no processamento de precatórios."
"Súmula 731","Tribunal Pleno","26/11/2003","Aprovada","Processual Civil","Para fim da competência originária do Supremo Tribunal Federal, é de interesse geral da magistratura a questão de saber se, em face da LOMAN, os juízes têm direito à licença-prêmio."
"Súmula 729","Tribunal Pleno","26/11/2003","Aprovada","Processual Civil","A decisão na ADC-4 não se aplica à antecipação de tutela em causa de natureza previdenciária."
"Súmula 728","Tribunal Pleno","26/11/2003","Aprovada","Processual Civil","É de três dias o prazo para a interposição de recurso extraordinário contra decisão do Tribunal Superior Eleitoral, contado, quando for o caso, a partir da publicação do acórdão, na própria sessão de julgamento, nos termos do art. 12 da Lei 6.055/74, que não foi revogado pela Lei 8.950/94."
"Súmula 727","Tribunal Pleno","26/11/2003","Aprovada","Processual Civil","Não pode o magistrado deixar de encaminhar ao Supremo Tribunal Federal o agravo de instrumento interposto da decisão que não admite recurso extraordinário, ainda que referente a causa instaurada no âmbito dos juizados especiais."
"Súmula 689","Tribunal Pleno","24/09/2003","Aprovada","Processual Civil","O segurado pode ajuizar ação contra a instituição previdenciária perante o juízo federal do seu domicílio ou nas varas federais da Capital do Estado-Membro."
"Súmula 644","Tribunal Pleno","24/09/2003","Aprovada","Processual Civil","Ao titular do cargo de procurador de autarquia não se exige a apresentação de instrumento de mandato para representá-la em juízo."
"Súmula 643","Tribunal Pleno","24/09/2003","Aprovada","Processual Civil","O Ministério Público tem legitimidade para promover ação civil pública cujo fundamento seja a ilegalidade de reajuste de mensalidades escolares."
"Súmula 642","Tribunal Pleno","24/09/2003","Aprovada","Processual Civil","Não cabe ação direta de inconstitucionalidade de lei do Distrito Federal derivada da sua competência legislativa municipal."
"Súmula 641","Tribunal Pleno","24/09/2003","Aprovada","Processual Civil","Não se conta em dobro o prazo para recorrer, quando só um dos litisconsortes haja sucumbido."
"Súmula 640","Tribunal Pleno","24/09/2003","Aprovada","Processual Civil","É cabível recurso extraordinário contra decisão proferida por juiz de primeiro grau nas causas de alçada, ou por turma recursal de juizado especial cível e criminal."
"Súmula 639","Tribunal Pleno","24/09/2003","Aprovada","Processual Civil","Aplica-se a Súmula 288 quando não constarem do traslado do agravo de instrumento as cópias das peças necessárias à verificação da tempestividade do recurso extraordinário não admitido pela decisão agravada."
"Súmula 638","Tribunal Pleno","24/09/2003","Aprovada","Processual Civil","A controvérsia sobre a incidência, ou não, de correção monetária em operações de crédito rural é de natureza infraconstitucional, não viabilizando recurso extraordinário."
"Súmula 637","Tribunal Pleno","24/09/2003","Aprovada","Processual Civil","Não cabe recurso extraordinário contra acórdão de Tribunal de Justiça que defere pedido de intervenção estadual em Município."
"Súmula 636","Tribunal Pleno","24/09/2003","Aprovada","Processual Civil","Não cabe recurso extraordinário por contrariedade ao princípio constitucional da legalidade, quando a sua verificação pressuponha rever a interpretação dada a normas infraconstitucionais pela decisão recorrida."
"Súmula 635","Tribunal Pleno","24/09/2003","Aprovada","Processual Civil","Cabe ao Presidente do Tribunal de origem decidir o pedido de medida cautelar em recurso extraordinário ainda pendente do seu juízo de admissibilidade."
